7452,Material handlers
7511,Transport truck drivers
7512,Bus drivers subway operators and other transit operators
7513,Taxi and limousine drivers and chauffeurs
7514,Delivery and courier service drivers
7521,Heavy equipment operators (except crane)
7522,Public works maintenance equipment operators and related workers
7531,Railway yard and track maintenance workers
7532,Water transport deck and engine room crew
7533,Boat and cable ferry operators and related occupations
7534,Air transport ramp attendants
7535,Other automotive mechanical installers and servicers
7611,Construction trades helpers and labourers
7612,Other trades helpers and labourers
7621,Public works and maintenance labourers
7622,Railway and motor transport labourers
8211,Supervisors logging and forestry
8221,Supervisors mining and quarrying
8222,Contractors and supervisors oil and gas drilling and services
8231,Underground production and development miners
8232,Oil and gas well drillers servicers testers and related workers
8241,Logging machinery operators
8252,Agricultural service contractors farm supervisors and specialized livestock workers
8255,Contractors and supervisors landscaping grounds maintenance and horticulture services
8261,Fishing masters and officers
8262,Fishermen/women
8411,Underground mine service and support workers
8412,Oil and gas well drilling and related workers and services operators
8421,Chain saw and skidder operators
8422,Silviculture and forestry workers
8431,General farm workers
8432,Nursery and greenhouse workers
8441,Fishing vessel deckhands
8442,Trappers and hunters
8611,Harvesting labourers
8612,Landscaping and grounds maintenance labourers
8613,Aquaculture and marine harvest labourers
8614,Mine labourers
8615,Oil and gas drilling servicing and related labourers
8616,Logging and forestry labourers
9211,Supervisors mineral and metal processing
9212,Supervisors petroleum gas and chemical processing and utilities
9213,Supervisors food beverage and associated products processing
9214,Supervisors plastic and rubber products manufacturing
9215,Supervisors forest products processing
9217,Supervisors textile fabric fur and leather products processing and manufacturing
9221,Supervisors motor vehicle assembling
9222,Supervisors electronics manufacturing
9223,Supervisors electrical products manufacturing
9224,Supervisors furniture and fixtures manufacturing
9226,Supervisors other mechanical and metal products manufacturing
9227,Supervisors other products manufacturing and assembly
9231,Central control and process operators mineral and metal processing
9232,Petroleum gas and chemical process operators
9235,Pulping papermaking and coating control operators
9241,Power engineers and power systems operators
9243,Water and waste treatment plant operators
9411,Machine operators mineral and metal processing
9412,Foundry workers
9413,Glass forming and finishing machine operators and glass cutters
9414,Concrete clay and stone forming operators
9415,Inspectors and testers mineral and metal processing
9416,Metalworking and forging machine operators
9417,Machining tool operators
9418,Other metal products machine operators
9421,Chemical plant machine operators
9422,Plastics processing machine operators
9423,Rubber processing machine operators and related workers
9431,Sawmill machine operators
9432,Pulp mill machine operators
9433,Papermaking and finishing machine operators
9434,Other wood processing machine operators
9435,Paper converting machine operators
9436,Lumber graders and other wood processing inspectors and graders
9437,Woodworking machine operators
9441,Textile fibre and yarn hide and pelt processing machine operators and workers
9442,Weavers knitters and other fabric making occupations
9445,Fabric fur and leather cutters
9446,Industrial sewing machine operators
9447,Inspectors and graders textile fabric fur and leather products manufacturing
9461,Process control and machine operators food beverage and associated products processing
9462,Industrial butchers and meat cutters poultry preparers and related workers
9463,Fish and seafood plant workers
9465,Testers and graders food beverage and associated products processing
9471,Plateless printing equipment operators
9472,Camera platemaking and other prepress occupations
9473,Binding and finishing machine operators
9474,Photographic and film processors
9521,Aircraft assemblers and aircraft assembly inspectors
9522,Motor vehicle assemblers inspectors and testers
9523,Electronics assemblers fabricators inspectors and testers
9524,Assemblers and inspectors electrical appliance apparatus and equipment manufacturing
9525,Assemblers fabricators and inspectors industrial electrical motors and transformers
9526,Mechanical assemblers and inspectors
9527,Machine operators and inspectors electrical apparatus manufacturing
9531,Boat assemblers and inspectors
9532,Furniture and fixture assemblers and inspectors
9533,Other wood products assemblers and inspectors
9534,Furniture finishers and refinishers
9535,Plastic products assemblers finishers and inspectors
9536,Industrial painters coaters and metal finishing process operators
9537,Other products assemblers finishers and inspectors
9611,Labourers in mineral and metal processing
9612,Labourers in metal fabrication
9613,Labourers in chemical products processing and utilities
9614,Labourers in wood pulp and paper processing
9615,Labourers in rubber and plastic products manufacturing
9616,Labourers in textile processing
9617,Labourers in food beverage and associated products processing
9618,Labourers in fish and seafood processing
9619,Other labourers in processing manufacturing and utilities
