NOC #,Major Occupation Group,Occupation ,Proportion of tasks that can be automated (McKinsey & Company)," Average Income, 2011 ","Employed Canadian Labour Force, 2011",Probability of automation in the next 10-20 years (Frey and Osborne),Level of Education
9417,"Trades helpers, construction labourers and related occupations",Machining tool operators,91.4%," $ 40,117 ","9,415",87.9%,C
1452,Processing and manufacturing machine operators and related production workers,"Correspondence, publication and regulatory clerks",78.0%," $ 39,498 ","26,135",87.0%,C
8431,Office support occupations,General farm workers,45.0%," $ 17,778 ","82,475",87.0%,C
8432,"Workers in natural resources, agriculture and related production",Nursery and greenhouse workers,49.0%," $ 14,551 ","15,110",87.0%,C
8611,"Workers in natural resources, agriculture and related production",Harvesting labourers,49.0%," $ 12,440 ","5,650",87.0%,D
8613,"Harvesting, landscaping and natural resources labourers",Aquaculture and marine harvest labourers,49.0%," $ 22,162 ","1,420",87.0%,D
8616,"Harvesting, landscaping and natural resources labourers",Logging and forestry labourer,33.0%," $ 21,709 ","3,660",87.0%,D
9534,"Harvesting, landscaping and natural resources labourers",Furniture finishers and refinishers,90.0%," $ 29,113 ","7,430",87.0%,C
1511,Assemblers in manufacturing,"Mail, postal and related workers",81.0%," $ 33,862 ","33,390",86.5%,C
7236,"Distribution, tracking and scheduling co-ordination occupations",Ironworkers,24.0%," $ 56,375 ","14,140",86.5%,B
1222,"Industrial, electrical and construction trades",Executive assistants,51.0%," $ 54,737 ","40,545",86.0%,B
6232,Administrative and financial supervisors and administrative occupations,Real estate agents and salespersons,27.0%," $ 50,146 ","61,700",86.0%,B
7532,Retail sales supervisors and specialized sales occupations,Water transport deck and engine room crew,86.5%," $ 44,894 ","3,770",86.0%,C
9431,Transport and heavy equipment operation and related maintenance occupations,Sawmill machine operators,93.0%," $ 37,193 ","8,615",86.0%,C
9416,Processing and manufacturing machine operators and related production workers,Metalworking and forging machine operators,90.9%," $ 37,979 ","14,810",85.6%,C
6623,Processing and manufacturing machine operators and related production workers,Other sales related occupations,41.0%," $ 17,661 ","32,255",85.3%,D
6411,Sales support occupations,Sales and account representatives- wholesale trade (non-technical),21.0%," $ 53,848 ","131,060",85.0%,C
7451,Sales representatives and salespersons - wholesale and retail trade,Longshore workers,7.0%," $ 57,905 ","5,520",85.0%,C
7452,"Other installers, repairers and servicers and material handlers",Material handlers,7.0%," $ 30,404 ","158,080",85.0%,C
9423,"Other installers, repairers and servicers and material handlers",Rubber processing machine operators and related workers,81.5%," $ 41,204 ","6,565",84.8%,C
6721,Processing and manufacturing machine operators and related production workers,"Support occupations in accommodation, travel and facilities set-up services",55.0%," $ 25,966 ","4,705",84.7%,D
2241,Sales support occupations,Electrical and electronics engineering technologists and technicians,23.0%," $ 55,600 ","45,130",84.0%,B
6342,Technical occupations related to natural and applied sciences,"Tailors, dressmakers, furriers and milliners",96.0%," $ 18,866 ","13,325",84.0%,B
6541,Service supervisors and specialized service occupations,Security guards and related security service occupations,39.0%," $ 27,338 ","109,625",84.0%,C
7232,Service representatives and other customer and personal services occupations,Tool and die makers,87.0%," $ 53,039 ","12,185",84.0%,B
7284,"Industrial, electrical and construction trades","Plasterers, drywall installers and finishers and lathers",90.0%," $ 32,636 ","29,630",84.0%,B
7373,"Industrial, electrical and construction trades",Water well drillers,90.0%," $ 46,707 ","1,055",84.0%,B
6322,Maintenance and equipment operation trades,Cooks,81.0%," $ 17,773 ","192,540",83.0%,B
7293,Service supervisors and specialized service occupations,Insulators,54.0%," $ 46,326 ","8,825",83.0%,B
7362,"Industrial, electrical and construction trades",,46.0%," $ 60,547 ","5,855",83.0%,B
7381,Maintenance and equipment operation trades,Printing press operators,86.0%," $ 44,968 ","14,390",83.0%,B
8261,Maintenance and equipment operation trades,Fishing masters and officers,24.0%," $ 34,365 ","2,310",83.0%,B
8262,"Supervisors and technical occupations in natural resources, agriculture and related production",Fishermen/women,24.0%," $ 20,241 ","16,595",83.0%,B
8441,"Supervisors and technical occupations in natural resources, agriculture and related production",Fishing vessel deckhands,24.0%," $ 19,854 ","3,240",83.0%,C
7233,"Workers in natural resources, agriculture and related production",Sheet and metal workers,39.0%," $ 46,843 ","20,020",82.0%,B
7281,"Industrial, electrical and construction trades",Bricklayers,53.0%," $ 35,372 ","18,775",82.0%,B
0121,"Industrial, electrical and construction trades","Insurance, real estate and financial brokerage managers",16.0%," $ 77,691 ","48,670",81.0%,0
0714,Specialized middle management occupations,Facility operation and maintenance managers,16.0%," $ 62,451 ","46,280",81.0%,0
1224,"Middle management occupations in trades, transportation, production and utilities",Property administrators,16.0%," $ 46,922 ","49,935",81.0%,B
7316,Administrative and financial supervisors and administrative occupations,Machine fitters,70.0%," $ 58,952 ","4,940",81.0%,B
7512,Maintenance and equipment operation trades,"Bus drivers, subway operators and other transit operators",62.7%," $ 34,121 ","85,130",80.7%,C
7295,Transport and heavy equipment operation and related maintenance occupations,Floor covering installers,85.3%," $ 27,842 ","14,755",80.3%,B
2261,"Industrial, electrical and construction trades",Non-destructive testers and inspection technicians,61.5%," $ 67,304 ","6,405",79.5%,B
7334,Technical occupations related to natural and applied sciences,"Motorcycle, all-terrain and other related mechanics",85.0%," $ 37,815 ","4,795",79.0%,B
7511,Maintenance and equipment operation trades,Transport truck drivers,69.0%," $ 40,871 ","261,775",79.0%,C
8241,Transport and heavy equipment operation and related maintenance occupations,Logging machinery operators,100.0%," $ 43,225 ","6,815",79.0%,B
9232,"Supervisors and technical occupations in natural resources, agriculture and related production","Petroleum, gas and chemical process operators",84.7%," $ 84,661 ","18,775",78.0%,B
9461,"Processing, manufacturing and utilities supervisors and central control operators","Process control and machine operators, food, beverage and associated products processing",92.8%," $ 37,344 ","30,735",77.5%,C
8232,Processing and manufacturing machine operators and related production workers,"Oil and gas well drillers, servicers, testers and related workers",68.2%," $ 78,949 ","11,610",77.2%,B
8412,"Supervisors and technical occupations in natural resources, agriculture and related production",Oil and gas well drilling and related workers and services operators,68.2%," $ 72,433 ","7,355",77.2%,C
1225,"Workers in natural resources, agriculture and related production",Purchasing agents and officers,2.0%," $ 58,732 ","45,785",77.0%,B
1524,Administrative and financial supervisors and administrative occupations,Purchasing and inventory control workers,2.0%," $ 34,204 ","31,135",77.0%,C
6512,"Distribution, tracking and scheduling co-ordination occupations",Bartenders,56.0%," $ 15,575 ","35,520",77.0%,C
8442,Service representatives and other customer and personal services occupations,Trappers and hunters,," $ 14,825 ",455,77.0%,C
7384,"Workers in natural resources, agriculture and related production","Other trades and related occupations, n.e.c. ",54.6%," $ 40,612 ","10,230",76.2%,B
5113,Maintenance and equipment operation trades,Archivists,7.0%," $ 41,499 ","2,430",76.0%,A
8421,Professional occupations in art and culture,Chain saw and skidder operators,64.0%," $ 25,668 ","5,275",76.0%,C
9421,"Workers in natural resources, agriculture and related production",Chemical plant machine operators,90.0%," $ 41,372 ","9,025",76.0%,C
5244,Processing and manufacturing machine operators and related production workers,Artisans and craftspersons,83.6%," $ 16,744 ","12,405",75.1%,B
2231,"Technical occupations in art, culture, recreation and sport",Civil engineering technologists and technicians,21.0%," $ 52,920 ","20,075",75.0%,B
7283,Technical occupations related to natural and applied sciences,Tile setters,86.0%," $ 31,629 ","8,510",75.0%,B
5224,"Industrial, electrical and construction trades",Broadcast technicians,62.0%," $ 51,035 ","2,950",74.0%,B
7314,"Technical occupations in art, culture, recreation and sport",Railway carmen/women,90.5%," $ 61,748 ","2,725",73.5%,B
6533,Maintenance and equipment operation trades,Casino occupations,53.4%," $ 33,240 ","12,640",73.4%,C
0114,Service representatives and other customer and personal services occupations,Other administrative services managers,35.0%," $ 74,177 ","29,725",73.0%,0
7292,Specialized middle management occupations,Glaziers,42.0%," $ 38,752 ","11,590",73.0%,B
7322,"Industrial, electrical and construction trades",Motor vehicle body repairer,81.0%," $ 37,751 ","28,565",73.0%,B
9442,Maintenance and equipment operation trades,"Weavers, knitters and other fabric making occupations",80.0%," $ 26,229 ","3,510",73.0%,C
9463,Processing and manufacturing machine operators and related production workers,Fish and seafood plant workers,92.0%," $ 13,978 ","7,670",73.0%,C
6722,Processing and manufacturing machine operators and related production workers,"Operators and attendants in amusement, recreation and support",55.0%," $ 13,877 ","24,460",72.0%,D
7271,"Service support and other service occupations, n.e.c.",Carpenters ,72.0%," $ 33,910 ","149,395",72.0%,B
7332,Maintenance and equipment operation trades,Appliance servicers and repairers,41.0%," $ 36,515 ","7,545",72.0%,B
7302,Maintenance and equipment operation trades,"Contractors and supervisors, heavy equipment operator crews",64.6%," $ 69,382 ","32,475",71.9%,B
7304,Maintenance and equipment operation trades,"Supervisors, railway transport operations",48.5%," $ 76,938 ","1,740",71.3%,B
3231,Technical occupations in health,Opticians,16.0%," $ 39,731 ","8,595",71.0%,B
6741,"Service support and other service occupations, n.e.c.","Dry cleaning, laundry and related occupations",89.0%," $ 22,958 ","21,160",71.0%,D
7315,Maintenance and equipment operation trades,Aircraft mechanics and aircraft inspectors,85.0%," $ 60,257 ","16,520",71.0%,B
7333,Maintenance and equipment operation trades,Electrical mechanics,69.3%," $ 47,884 ","8,490",70.7%,B
1251,Administrative and financial supervisors and administrative occupations,"Court reporters, medical transcriptionists and related occupations",41.0%," $ 30,197 ","9,075",69.5%,B
6731,"Service support and other service occupations, n.e.c.",Light duty cleaners,18.0%," $ 18,462 ","213,515",69.0%,D
7514,Transport and heavy equipment operation and related maintenance occupations,Delivery and courier service drivers,70.0%," $ 27,762 ","90,075",69.0%,C
7305,Maintenance and equipment operation trades,"Supervisors, motor transport and other ground transit operators",52.2%," $ 63,000 ","8,290",68.2%,B
1512,"Distribution, tracking and scheduling co-ordination occupations",Letter carriers,73.0%," $ 44,421 ","31,915",68.0%,C
3222,Technical occupations in health,Dental hygienists and dental therapists,13.0%," $ 45,325 ","23,325",68.0%,B
7234,"Industrial, electrical and construction trades",Boilermakers,46.0%," $ 66,543 ","3,630",68.0%,B
7301,Maintenance and equipment operation trades,"Contractors and supervisors, mechanic trades",63.0%," $ 64,415 ","18,465",67.6%,B
5227,"Technical occupations in art, culture, recreation and sport","Support occupations in motion pictures, broadcasting, photography and the performing arts",62.2%," $ 31,464 ","6,270",67.4%,B
2114,Professional occupations in natural and applied sciences,Meteorologists and climatologists,34.0%," $ 71,841 ","1,345",67.0%,A
2243,Technical occupations related to natural and applied sciences,Industrial instrument technicians and mechanics,41.0%," $ 81,699 ","8,185",67.0%,B
2253,Technical occupations related to natural and applied sciences,Drafting technologists and technicians,19.3%," $ 44,650 ","31,390",67.0%,B
7312,Maintenance and equipment operation trades,Heavy-duty equipment mechanics,41.0%," $ 60,634 ","42,985",67.0%,B
9235,"Processing, manufacturing and utilities supervisors and central control operators","Pulping, papermaking and coating control operators",100.0%," $ 66,178 ","2,595",67.0%,B
9412,Processing and manufacturing machine operators and related production workers,Foundry workers,100.0%," $ 45,349 ","4,180",67.0%,C
9432,Processing and manufacturing machine operators and related production workers,Pulp mill machine operators,100.0%," $ 66,428 ","2,480",67.0%,C
9433,Processing and manufacturing machine operators and related production workers,Papermaking and finishing machine operators,100.0%," $ 54,826 ","3,015",67.0%,C
9435,Processing and manufacturing machine operators and related production workers,Paper converting machine operators,100.0%," $ 41,689 ","7,545",67.0%,C
7441,"Other installers, repairers and servicers and material handlers",Residential and commercial installers and services,61.6%," $ 31,068 ","41,955",66.6%,C
7372,Maintenance and equipment operation trades,"Drillers and blasters- surface mining, quarrying and construction",75.0%," $ 58,341 ","3,160",66.5%,B
8231,"Supervisors and technical occupations in natural resources, agriculture and related production",Underground production and development miners,71.6%," $ 71,794 ","14,365",66.5%,B
1254,Administrative and financial supervisors and administrative occupations,Statistical officers and related research support occupations,60.0%," $ 46,574 ","4,455",66.0%,B
1454,Office support occupations,Survey interviewers and statistical clerks,60.0%," $ 16,685 ","36,060",66.0%,C
6733,"Service support and other service occupations, n.e.c.","Janitors, caretakers and building superintendents",22.0%," $ 28,071 ","195,540",66.0%,D
7444,"Other installers, repairers and servicers and material handlers",Pest controllers and fumigators,36.0%," $ 34,268 ","2,920",66.0%,C
9611,"Labourers in processing, manufacturing and utilities",Labourers in mineral and metal processing,97.0%," $ 42,083 ","8,745",66.0%,D
9612,"Labourers in processing, manufacturing and utilities",Labourers in metal fabrication,97.0%," $ 32,161 ","9,815",66.0%,D
9613,"Labourers in processing, manufacturing and utilities",Labourers in chemical products processing and utilities,97.0%," $ 31,254 ","9,785",66.0%,D
9614,"Labourers in processing, manufacturing and utilities","Labourers in wood, pulp and paper processing",97.0%," $ 33,620 ","19,175",66.0%,D
9615,"Labourers in processing, manufacturing and utilities",Labourers in rubber and plastic products manufacturing,97.0%," $ 29,400 ","9,570",66.0%,D
9616,"Labourers in processing, manufacturing and utilities",Labourers in textile processing,97.0%," $ 26,350 ","2,155",66.0%,D
9617,"Labourers in processing, manufacturing and utilities","Labourers in food, beverage and associated products processing",97.0%," $ 25,686 ","60,425",66.0%,D
9618,"Labourers in processing, manufacturing and utilities",Labourers in fish and seafood processing,97.0%," $ 12,381 ","6,150",66.0%,D
9619,"Labourers in processing, manufacturing and utilities","Other labourers in processing, manufacturing and utilities",97.0%," $ 22,995 ","61,525",66.0%,D
6742,"Service support and other service occupations, n.e.c.","Other service support occupations, n.e.c.",39.0%," $ 16,112 ","24,570",65.8%,D
2282,Technical occupations related to natural and applied sciences,User support technicians,65.0%," $ 46,633 ","53,445",65.0%,B
4012,Professional occupations in education services,Post-secondary teaching and research assistants,23.0%," $ 19,464 ","59,050",65.0%,A
5111,Professional occupations in art and culture,Librarians,43.0%," $ 49,130 ","13,115",65.0%,A
7231,"Industrial, electrical and construction trades",Machinists and machining and tool inspectors,84.0%," $ 46,394 ","42,095",65.0%,B
7247,"Industrial, electrical and construction trades",Cable television service and maintenance technicians,88.0%," $ 46,637 ","2,260",65.0%,B
7313,Maintenance and equipment operation trades,Refrigeration and air conditioning mechanics,31.0%," $ 53,144 ","23,940",65.0%,B
7331,Maintenance and equipment operation trades,Oil and solid fuel heating mechanics,31.0%," $ 41,078 ","2,800",65.0%,B
1227,Administrative and financial supervisors and administrative occupations,Court officers and justices of the peace,26.0%," $ 51,610 ","5,485",64.0%,B
1522,"Distribution, tracking and scheduling co-ordination occupations",Storekeepers and partspersons,85.0%," $ 37,127 ","47,085",64.0%,C
6622,Sales support occupations,"Store shelf stockers, clerks and order fillers",85.0%," $ 16,240 ","150,770",64.0%,D
2113,Professional occupations in natural and applied sciences,Geoscientists and oceanographers,65.0%," $ 130,061 ","12,650",63.0%,A
2244,Technical occupations related to natural and applied sciences,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",71.7%," $ 64,161 ","7,370",63.0%,B
2264,Technical occupations related to natural and applied sciences,Construction inspectors,37.0%," $ 54,152 ","13,615",63.0%,B
